,importance
cluster,0.22331447361654871
harmony_5,0.19434692798182657
UMAP_2,0.12378387761901875
harmony_8,0.07852406049004591
UMAP_1,0.0728755796296999
harmony_10,0.043268999745137315
harmony_11,0.04009048102643606
harmony_14,0.022241493441163548
harmony_1,0.0158168518069406
harmony_15,0.015627666190811206
harmony_4,0.015512334679725293
harmony_6,0.014588361644761199
harmony_30,0.00784317581189028
harmony_3,0.0072844033448216895
harmony_13,0.006404996916149317
harmony_18,0.005929325957987324
harmony_12,0.005810027239533173
harmony_2,0.0056362637472263406
harmony_26,0.005290386978050926
harmony_28,0.005214431522442471
harmony_45,0.005198782886275378
harmony_39,0.005062665518263947
harmony_7,0.0046340689261696695
harmony_22,0.00440772339232325
harmony_21,0.004327165653733447
harmony_9,0.004202310528582906
harmony_34,0.003610305713501283
harmony_40,0.003437387633768497
harmony_17,0.0033944279870886302
harmony_36,0.0032341056690095844
harmony_23,0.003220971872190388
harmony_44,0.0031961994489637215
harmony_20,0.0030564384822227455
harmony_48,0.0029202288775630873
harmony_47,0.002885317646423013
harmony_37,0.0027903911344265807
harmony_31,0.0027895351810790724
harmony_49,0.0027497282570720922
harmony_32,0.0024888918964296844
harmony_46,0.002364338838757901
harmony_16,0.0022158026937161845
harmony_19,0.002207695714135187
harmony_38,0.002127236262999691
harmony_35,0.0020839283009287525
harmony_41,0.0019431330367491002
harmony_43,0.0018208242386673751
harmony_25,0.001651042479104852
harmony_27,0.0016360803871765198
harmony_33,0.0013866842111282763
harmony_24,0.0012631530049788853
harmony_29,0.0009749774220194232
harmony_50,0.0007714230923388803
harmony_42,0.0005429142219954665
